------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:144, Time:0ms, TrainError:0.28413174, TrainErrorChange:0.17848001, ValidationError:0.37305492, Accuracy: 0.9111111
Epoch:145, Time:1ms, TrainError:0.24640085, TrainErrorChange:-0.037730888, ValidationError:0.14490093, Accuracy: 0.9111111
Epoch:146, Time:0ms, TrainError:0.09116029, TrainErrorChange:-0.15524057, ValidationError:0.18314151, Accuracy: 0.9111111
Epoch:147, Time:1ms, TrainError:0.18357985, TrainErrorChange:0.09241956, ValidationError:0.1127655, Accuracy: 0.9555556
Epoch:148, Time:0ms, TrainError:0.2532531, TrainErrorChange:0.069673255, ValidationError:0.28360337, Accuracy: 0.9111111
Epoch:149, Time:1ms, TrainError:0.13149752, TrainErrorChange:-0.121755585, ValidationError:0.33725375, Accuracy: 0.9111111
Epoch:150, Time:0ms, TrainError:0.066840425, TrainErrorChange:-0.06465709, ValidationError:0.4474426, Accuracy: 0.9111111
Epoch:151, Time:1ms, TrainError:0.30643937, TrainErrorChange:0.23959894, ValidationError:0.29665846, Accuracy: 0.9111111
Epoch:152, Time:0ms, TrainError:0.35622916, TrainErrorChange:0.049789786, ValidationError:0.18914087, Accuracy: 0.9111111
Epoch:153, Time:0ms, TrainError:0.066392705, TrainErrorChange:-0.28983647, ValidationError:0.41111526, Accuracy: 0.9111111
Epoch:154, Time:1ms, TrainError:0.072096154, TrainErrorChange:0.0057034492, ValidationError:0.1606129, Accuracy: 0.9555556
Epoch:155, Time:0ms, TrainError:0.06480827, TrainErrorChange:-0.0072878823, ValidationError:0.46537822, Accuracy: 0.9111111
Epoch:156, Time:1ms, TrainError:0.33786157, TrainErrorChange:0.2730533, ValidationError:0.30855528, Accuracy: 0.9111111
Epoch:157, Time:0ms, TrainError:0.35978848, TrainErrorChange:0.02192691, ValidationError:0.18135037, Accuracy: 0.9111111
Epoch:158, Time:1ms, TrainError:0.06708196, TrainErrorChange:-0.29270652, ValidationError:0.35592312, Accuracy: 0.9111111
Epoch:159, Time:0ms, TrainError:0.062098693, TrainErrorChange:-0.004983265, ValidationError:0.43294182, Accuracy: 0.9111111
Epoch:160, Time:1ms, TrainError:0.25367135, TrainErrorChange:0.19157265, ValidationError:0.28510812, Accuracy: 0.9111111
Epoch:161, Time:0ms, TrainError:0.14101584, TrainErrorChange:-0.112655506, ValidationError:0.19613051, Accuracy: 0.9555556
Epoch:162, Time:1ms, TrainError:0.27713183, TrainErrorChange:0.13611598, ValidationError:0.78589326, Accuracy: 0.82222223
Epoch:163, Time:0ms, TrainError:0.32005307, TrainErrorChange:0.042921245, ValidationError:0.5356505, Accuracy: 0.9111111
Epoch:164, Time:0ms, TrainError:0.1409456, TrainErrorChange:-0.17910747, ValidationError:0.20970811, Accuracy: 0.9111111
Epoch:165, Time:0ms, TrainError:0.15821464, TrainErrorChange:0.017269045, ValidationError:0.18547858, Accuracy: 0.9555556
Epoch:166, Time:0ms, TrainError:0.07399364, TrainErrorChange:-0.084221005, ValidationError:0.21480909, Accuracy: 0.9555556
Epoch:167, Time:1ms, TrainError:0.20771112, TrainErrorChange:0.13371748, ValidationError:0.25240156, Accuracy: 0.9555556
Epoch:168, Time:0ms, TrainError:0.19729309, TrainErrorChange:-0.010418028, ValidationError:0.38032958, Accuracy: 0.9111111
Epoch:169, Time:1ms, TrainError:0.43494305, TrainErrorChange:0.23764996, ValidationError:0.2287088, Accuracy: 0.9111111
Epoch:170, Time:0ms, TrainError:0.08148754, TrainErrorChange:-0.3534555, ValidationError:0.3562523, Accuracy: 0.9111111
Epoch:171, Time:0ms, TrainError:0.20153062, TrainErrorChange:0.120043084, ValidationError:0.46953818, Accuracy: 0.9111111
Epoch:172, Time:1ms, TrainError:0.21926863, TrainErrorChange:0.017738014, ValidationError:0.23807184, Accuracy: 0.9111111
Epoch:173, Time:0ms, TrainError:0.13591899, TrainErrorChange:-0.083349645, ValidationError:0.21982612, Accuracy: 0.9555556
Epoch:174, Time:1ms, TrainError:0.06681016, TrainErrorChange:-0.06910883, ValidationError:0.27319807, Accuracy: 0.9555556
Epoch:175, Time:5ms, TrainError:0.16042136, TrainErrorChange:0.093611196, ValidationError:0.27586636, Accuracy: 0.9555556
Epoch:176, Time:1ms, TrainError:0.16308914, TrainErrorChange:0.0026677847, ValidationError:0.14667907, Accuracy: 0.9111111
Epoch:177, Time:0ms, TrainError:0.16268528, TrainErrorChange:-4.0386617E-4, ValidationError:0.53192246, Accuracy: 0.9111111
Epoch:178, Time:1ms, TrainError:0.16321374, TrainErrorChange:5.284697E-4, ValidationError:0.18977891, Accuracy: 0.9555556
Epoch:179, Time:1ms, TrainError:0.10546814, TrainErrorChange:-0.057745606, ValidationError:0.42875186, Accuracy: 0.9111111
Epoch:180, Time:0ms, TrainError:0.31968468, TrainErrorChange:0.21421655, ValidationError:0.3091896, Accuracy: 0.9111111
Epoch:181, Time:0ms, TrainError:0.41516778, TrainErrorChange:0.095483094, ValidationError:0.27623713, Accuracy: 0.9111111
Epoch:182, Time:1ms, TrainError:0.12437469, TrainErrorChange:-0.2907931, ValidationError:0.39208877, Accuracy: 0.9111111
Epoch:183, Time:1ms, TrainError:0.11934554, TrainErrorChange:-0.0050291494, ValidationError:0.29715502, Accuracy: 0.9111111
Epoch:184, Time:0ms, TrainError:0.10446431, TrainErrorChange:-0.014881231, ValidationError:0.03924574, Accuracy: 1.0
Epoch:185, Time:0ms, TrainError:0.086410955, TrainErrorChange:-0.018053353, ValidationError:0.097959235, Accuracy: 0.9555556
Epoch:186, Time:1ms, TrainError:0.32637683, TrainErrorChange:0.23996587, ValidationError:0.30091748, Accuracy: 0.9111111
Epoch:187, Time:0ms, TrainError:0.3759154, TrainErrorChange:0.049538583, ValidationError:0.2764007, Accuracy: 0.9111111
Epoch:188, Time:0ms, TrainError:0.12414679, TrainErrorChange:-0.25176862, ValidationError:0.059940625, Accuracy: 1.0
Epoch:189, Time:1ms, TrainError:0.064896114, TrainErrorChange:-0.059250675, ValidationError:0.1871181, Accuracy: 0.9111111
Epoch:190, Time:1ms, TrainError:0.067086175, TrainErrorChange:0.002190061, ValidationError:0.2203502, Accuracy: 0.9111111
Epoch:191, Time:0ms, TrainError:0.050633058, TrainErrorChange:-0.016453117, ValidationError:0.25991935, Accuracy: 0.9111111
Epoch:192, Time:1ms, TrainError:0.3727793, TrainErrorChange:0.32214624, ValidationError:0.25554043, Accuracy: 0.9111111
Epoch:193, Time:1ms, TrainError:0.116653524, TrainErrorChange:-0.25612578, ValidationError:0.35948688, Accuracy: 0.9111111
Epoch:194, Time:0ms, TrainError:0.18077444, TrainErrorChange:0.06412091, ValidationError:0.21277495, Accuracy: 0.9555556
Epoch:195, Time:0ms, TrainError:0.07647372, TrainErrorChange:-0.104300715, ValidationError:0.4025799, Accuracy: 0.9111111
Epoch:196, Time:0ms, TrainError:0.36489946, TrainErrorChange:0.28842574, ValidationError:0.2888456, Accuracy: 0.9111111
Epoch:197, Time:1ms, TrainError:0.4135219, TrainErrorChange:0.04862243, ValidationError:0.2817078, Accuracy: 0.9111111
Epoch:198, Time:0ms, TrainError:0.28865886, TrainErrorChange:-0.12486303, ValidationError:0.31060746, Accuracy: 0.9111111
Epoch:199, Time:0ms, TrainError:0.13954836, TrainErrorChange:-0.1491105, ValidationError:0.13865365, Accuracy: 0.9555556
Epoch:200, Time:0ms, TrainError:0.060269848, TrainErrorChange:-0.079278514, ValidationError:0.4853018, Accuracy: 0.9111111
Epoch:201, Time:1ms, TrainError:0.09239381, TrainErrorChange:0.03212396, ValidationError:0.20751022, Accuracy: 0.9555556
Epoch:202, Time:1ms, TrainError:0.40985733, TrainErrorChange:0.31746352, ValidationError:0.14828824, Accuracy: 0.9555556
Epoch:203, Time:1ms, TrainError:0.18362878, TrainErrorChange:-0.22622855, ValidationError:0.4293383, Accuracy: 0.9111111
Epoch:204, Time:0ms, TrainError:0.26891762, TrainErrorChange:0.08528884, ValidationError:0.08890788, Accuracy: 1.0
Epoch:205, Time:1ms, TrainError:0.093351185, TrainErrorChange:-0.17556643, ValidationError:0.28442422, Accuracy: 0.9111111
Epoch:206, Time:1ms, TrainError:0.09374872, TrainErrorChange:3.9753318E-4, ValidationError:0.47583872, Accuracy: 0.9111111
Epoch:207, Time:0ms, TrainError:0.18056032, TrainErrorChange:0.0868116, ValidationError:0.1330127, Accuracy: 0.9555556
Epoch:208, Time:0ms, TrainError:0.086164646, TrainErrorChange:-0.094395675, ValidationError:0.44952592, Accuracy: 0.9111111
Epoch:209, Time:0ms, TrainError:0.27764732, TrainErrorChange:0.19148266, ValidationError:0.2850195, Accuracy: 0.9111111
Epoch:210, Time:1ms, TrainError:0.32604286, TrainErrorChange:0.048395544, ValidationError:0.17291044, Accuracy: 0.9555556
