------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:158, Time:1ms, TrainError:0.054331716, TestError:0.19014592, TrainErrorChange:0.054331716, Accuracy: 0.9111111
Epoch:159, Time:0ms, TrainError:0.0541193, TestError:0.1906909, TrainErrorChange:0.0541193, Accuracy: 0.9111111
Epoch:160, Time:0ms, TrainError:0.053909566, TestError:0.19123678, TrainErrorChange:0.053909566, Accuracy: 0.9111111
Epoch:161, Time:1ms, TrainError:0.05370272, TestError:0.1917834, TrainErrorChange:0.05370272, Accuracy: 0.9111111
Epoch:162, Time:0ms, TrainError:0.05349854, TestError:0.19232997, TrainErrorChange:0.05349854, Accuracy: 0.9111111
Epoch:163, Time:0ms, TrainError:0.053296905, TestError:0.19287921, TrainErrorChange:0.053296905, Accuracy: 0.9111111
Epoch:164, Time:1ms, TrainError:0.05309806, TestError:0.19342759, TrainErrorChange:0.05309806, Accuracy: 0.9111111
Epoch:165, Time:0ms, TrainError:0.05290175, TestError:0.19397555, TrainErrorChange:0.05290175, Accuracy: 0.9111111
Epoch:166, Time:1ms, TrainError:0.052707843, TestError:0.19452526, TrainErrorChange:0.052707843, Accuracy: 0.9111111
Epoch:167, Time:0ms, TrainError:0.05251662, TestError:0.19507447, TrainErrorChange:0.05251662, Accuracy: 0.9111111
Epoch:168, Time:0ms, TrainError:0.052327733, TestError:0.19562458, TrainErrorChange:0.052327733, Accuracy: 0.9111111
Epoch:169, Time:0ms, TrainError:0.052141257, TestError:0.19617465, TrainErrorChange:0.052141257, Accuracy: 0.9111111
Epoch:170, Time:1ms, TrainError:0.051957183, TestError:0.19672458, TrainErrorChange:0.051957183, Accuracy: 0.9111111
Epoch:171, Time:0ms, TrainError:0.051775523, TestError:0.19727352, TrainErrorChange:0.051775523, Accuracy: 0.9111111
Epoch:172, Time:0ms, TrainError:0.051596075, TestError:0.1978248, TrainErrorChange:0.051596075, Accuracy: 0.9111111
Epoch:173, Time:1ms, TrainError:0.051418982, TestError:0.19837384, TrainErrorChange:0.051418982, Accuracy: 0.9111111
Epoch:174, Time:0ms, TrainError:0.051244073, TestError:0.1989232, TrainErrorChange:0.051244073, Accuracy: 0.9111111
Epoch:175, Time:0ms, TrainError:0.051071305, TestError:0.19947277, TrainErrorChange:0.051071305, Accuracy: 0.9111111
Epoch:176, Time:0ms, TrainError:0.05090075, TestError:0.20002262, TrainErrorChange:0.05090075, Accuracy: 0.9111111
Epoch:177, Time:1ms, TrainError:0.050732315, TestError:0.20057128, TrainErrorChange:0.050732315, Accuracy: 0.9111111
Epoch:178, Time:0ms, TrainError:0.05056592, TestError:0.2011211, TrainErrorChange:0.05056592, Accuracy: 0.9111111
Epoch:179, Time:1ms, TrainError:0.050401583, TestError:0.20166989, TrainErrorChange:0.050401583, Accuracy: 0.9111111
Epoch:180, Time:0ms, TrainError:0.05023933, TestError:0.20221941, TrainErrorChange:0.05023933, Accuracy: 0.9111111
Epoch:181, Time:0ms, TrainError:0.05007901, TestError:0.20276673, TrainErrorChange:0.05007901, Accuracy: 0.9111111
Epoch:182, Time:0ms, TrainError:0.049920674, TestError:0.20331621, TrainErrorChange:0.049920674, Accuracy: 0.9111111
Epoch:183, Time:0ms, TrainError:0.049764294, TestError:0.20386477, TrainErrorChange:0.049764294, Accuracy: 0.9111111
Epoch:184, Time:1ms, TrainError:0.04960973, TestError:0.20441215, TrainErrorChange:0.04960973, Accuracy: 0.9111111
Epoch:185, Time:0ms, TrainError:0.049456924, TestError:0.20496054, TrainErrorChange:0.049456924, Accuracy: 0.9111111
Epoch:186, Time:0ms, TrainError:0.04930614, TestError:0.20550813, TrainErrorChange:0.04930614, Accuracy: 0.9111111
Epoch:187, Time:1ms, TrainError:0.04915703, TestError:0.20605591, TrainErrorChange:0.04915703, Accuracy: 0.9111111
Epoch:188, Time:0ms, TrainError:0.04900964, TestError:0.20660305, TrainErrorChange:0.04900964, Accuracy: 0.9111111
Epoch:189, Time:0ms, TrainError:0.048864014, TestError:0.20715035, TrainErrorChange:0.048864014, Accuracy: 0.9111111
Epoch:190, Time:0ms, TrainError:0.0487201, TestError:0.20769808, TrainErrorChange:0.0487201, Accuracy: 0.9111111
Epoch:191, Time:0ms, TrainError:0.0485778, TestError:0.20824626, TrainErrorChange:0.0485778, Accuracy: 0.9111111
Epoch:192, Time:0ms, TrainError:0.048437178, TestError:0.2087926, TrainErrorChange:0.048437178, Accuracy: 0.9111111
Epoch:193, Time:1ms, TrainError:0.04829817, TestError:0.20934057, TrainErrorChange:0.04829817, Accuracy: 0.9111111
Epoch:194, Time:0ms, TrainError:0.048160695, TestError:0.20988669, TrainErrorChange:0.048160695, Accuracy: 0.9111111
Epoch:195, Time:0ms, TrainError:0.048024766, TestError:0.21043417, TrainErrorChange:0.048024766, Accuracy: 0.9111111
Epoch:196, Time:1ms, TrainError:0.0478904, TestError:0.2109815, TrainErrorChange:0.0478904, Accuracy: 0.9111111
Epoch:197, Time:0ms, TrainError:0.047757488, TestError:0.21152876, TrainErrorChange:0.047757488, Accuracy: 0.9111111
Epoch:198, Time:0ms, TrainError:0.047626056, TestError:0.21207602, TrainErrorChange:0.047626056, Accuracy: 0.9111111
Epoch:199, Time:1ms, TrainError:0.04749602, TestError:0.21262209, TrainErrorChange:0.04749602, Accuracy: 0.9111111
Epoch:200, Time:0ms, TrainError:0.047367457, TestError:0.21316996, TrainErrorChange:0.047367457, Accuracy: 0.9111111
Epoch:201, Time:0ms, TrainError:0.047240254, TestError:0.21371798, TrainErrorChange:0.047240254, Accuracy: 0.9111111
Epoch:202, Time:1ms, TrainError:0.047114346, TestError:0.2142653, TrainErrorChange:0.047114346, Accuracy: 0.9111111
Epoch:203, Time:0ms, TrainError:0.04698983, TestError:0.21481231, TrainErrorChange:0.04698983, Accuracy: 0.9111111
Epoch:204, Time:0ms, TrainError:0.046866592, TestError:0.21536072, TrainErrorChange:0.046866592, Accuracy: 0.9111111
Epoch:205, Time:0ms, TrainError:0.046744708, TestError:0.21590878, TrainErrorChange:0.046744708, Accuracy: 0.9111111
Epoch:206, Time:0ms, TrainError:0.04662401, TestError:0.21645741, TrainErrorChange:0.04662401, Accuracy: 0.9111111
Epoch:207, Time:0ms, TrainError:0.04650463, TestError:0.21700577, TrainErrorChange:0.04650463, Accuracy: 0.9111111
Epoch:208, Time:1ms, TrainError:0.046386357, TestError:0.21755448, TrainErrorChange:0.046386357, Accuracy: 0.9111111
Epoch:209, Time:0ms, TrainError:0.04626929, TestError:0.2181038, TrainErrorChange:0.04626929, Accuracy: 0.9111111
Epoch:210, Time:0ms, TrainError:0.04615351, TestError:0.21865301, TrainErrorChange:0.04615351, Accuracy: 0.9111111
Epoch:211, Time:1ms, TrainError:0.0460388, TestError:0.21920255, TrainErrorChange:0.0460388, Accuracy: 0.9111111
Epoch:212, Time:0ms, TrainError:0.045925207, TestError:0.2197522, TrainErrorChange:0.045925207, Accuracy: 0.9111111
Epoch:213, Time:0ms, TrainError:0.045812722, TestError:0.22030337, TrainErrorChange:0.045812722, Accuracy: 0.9111111
Epoch:214, Time:1ms, TrainError:0.045701332, TestError:0.2208539, TrainErrorChange:0.045701332, Accuracy: 0.9111111
Epoch:215, Time:0ms, TrainError:0.04559093, TestError:0.22140566, TrainErrorChange:0.04559093, Accuracy: 0.9111111
Epoch:216, Time:0ms, TrainError:0.04548163, TestError:0.2219572, TrainErrorChange:0.04548163, Accuracy: 0.9111111
Epoch:217, Time:0ms, TrainError:0.04537335, TestError:0.22250955, TrainErrorChange:0.04537335, Accuracy: 0.9111111
Epoch:218, Time:0ms, TrainError:0.045266066, TestError:0.22306135, TrainErrorChange:0.045266066, Accuracy: 0.9111111
